id,2010_gdp,2011_gdp,2012_gdp,2013_gdp,2014_gdp,2015_gdp,Aggravated_assault_2011,Aggravated_assault_2014,Aggravated_assault_2015,Aggravated_assault_2010,Aggravated_assault_2012,Aggravated_assault_2013,Arson_2010,Arson_2011,Arson_2012,Arson_2013,Arson_2014,Arson_2015,Burglary_2010,Burglary_2011,Burglary_2012,Burglary_2013,Burglary_2014,Burglary_2015,City,Forcible_rape_2011,Larceny_Theft_2010,Larceny_Theft_2012,Larceny_Theft_2013,Larceny_Theft_2014,Larceny_Theft_2011,Larceny_Theft_2015,Motor_vehicle_theft_2011,Motor_vehicle_theft_2014,Motor_vehicle_theft_2015,Motor_vehicle_theft_2010,Motor_vehicle_theft_2012,Motor_vehicle_theft_2013,Murder_Manslaughter_2010,Murder_Manslaughter_2012,Murder_Manslaughter_2013,Murder_Manslaughter_2014,Murder_Manslaughter_2015,Murder_Manslaughter_2011,Population_2010,Population_2011,Population_2012,Population_2013,Population_2014,Population_2015,Property_crime_2011,Property_crime_2014,Property_crime_2015,Property_crime_2010,Property_crime_2012,Property_crime_2013,Rape_legacy_2014,Rape_legacy_2015,Rape_2010,Rape_2012,Rape_2013,Rape_2014,Rape_2015,Rape_legacy_2013,Robbery_2010,Robbery_2011,Robbery_2012,Robbery_2013,Robbery_2014,Robbery_2015,State,Violent_crime_2011,Violent_crime_2014,Violent_crime_2015,Violent_crime_2010,Violent_crime_2012,Violent_crime_2013
21,3791.00,4123.00,4434.00,4890.00,5071.00,4962.00,275.00,322.00,335.00,227.00,331.00,426.00,0.00,0.00,0.00,0.00,12.00,4.00,460.00,608.00,653.00,589.00,472.00,462.00,Madera,15.00,552.00,622.00,1010.00,1007.00,528.00,1135.00,306.00,207.00,325.00,307.00,346.00,256.00,8.00,2.00,7.00,6.00,3.00,1.00,58147.00,62138.00,62796.00,62973.00,63495.00,64127.00,1442.00,1686.00,1922.00,1319.00,1621.00,1855.00,,,22.00,19.00,,15.00,18.00,28.00,100.00,115.00,114.00,107.00,72.00,94.00,California,406.00,415.00,450.00,357.00,466.00,568.00
22,6271.00,7139.00,6987.00,7673.00,8138.00,8348.00,326.00,397.00,570.00,368.00,561.00,399.00,23.00,42.00,58.00,104.00,40.00,81.00,633.00,802.00,955.00,644.00,605.00,588.00,Merced,20.00,1934.00,2721.00,1608.00,1678.00,2044.00,1608.00,313.00,349.00,564.00,241.00,435.00,395.00,7.00,9.00,5.00,13.00,11.00,8.00,77484.00,79886.00,80976.00,81329.00,81603.00,82409.00,3159.00,2632.00,2760.00,2808.00,4111.00,2647.00,17.00,,33.00,25.00,,,31.00,19.00,141.00,149.00,215.00,133.00,143.00,151.00,California,503.00,570.00,763.00,549.00,810.00,556.00
23,15681.00,16281.00,16690.00,17268.00,18294.00,19110.00,907.00,1301.00,1427.00,899.00,1061.00,1168.00,56.00,56.00,54.00,62.00,59.00,66.00,2171.00,2121.00,2571.00,2251.00,1754.00,1639.00,Modesto,67.00,5786.00,6906.00,6349.00,6164.00,5410.00,6749.00,1363.00,1195.00,1735.00,1426.00,1799.00,1389.00,10.00,20.00,14.00,11.00,25.00,14.00,203890.00,203530.00,204631.00,204252.00,205820.00,210794.00,8894.00,9113.00,10123.00,9383.00,11276.00,9989.00,81.00,,62.00,59.00,,,85.00,72.00,427.00,425.00,450.00,450.00,385.00,488.00,California,1413.00,1778.00,2025.00,1398.00,1590.00,1704.00
24,7038.00,7171.00,7953.00,8547.00,8884.00,9363.00,152.00,174.00,230.00,179.00,158.00,180.00,11.00,9.00,8.00,16.00,0.00,6.00,328.00,344.00,349.00,304.00,290.00,355.00,Napa,24.00,1102.00,1073.00,975.00,900.00,1132.00,905.00,139.00,125.00,152.00,127.00,221.00,130.00,1.00,2.00,2.00,2.00,0.00,1.00,75482.00,77819.00,78589.00,78761.00,79572.00,80749.00,1615.00,1315.00,1412.00,1557.00,1643.00,1409.00,,,21.00,17.00,,34.00,38.00,26.00,44.00,47.00,39.00,47.00,39.00,30.00,California,224.00,249.00,298.00,245.00,216.00,255.00
25,5109.00,5251.00,5263.00,5350.00,5628.00,5933.00,535.00,412.00,417.00,625.00,505.00,388.00,11.00,4.00,5.00,5.00,8.00,11.00,849.00,823.00,1088.00,742.00,802.00,769.00,Redding,63.00,1946.00,2790.00,2483.00,2636.00,2237.00,2888.00,336.00,486.00,512.00,242.00,502.00,549.00,2.00,3.00,2.00,4.00,2.00,3.00,91414.00,90917.00,90974.00,91035.00,91426.00,92020.00,3396.00,3924.00,4169.00,3037.00,4380.00,3774.00,52.00,,61.00,66.00,,,50.00,49.00,105.00,100.00,131.00,146.00,142.00,145.00,California,701.00,610.00,614.00,793.00,705.00,585.00
26,18721.00,18891.00,19754.00,20666.00,21360.00,21980.00,692.00,501.00,613.00,755.00,477.00,490.00,23.00,22.00,29.00,36.00,36.00,19.00,1358.00,1140.00,1218.00,1148.00,1281.00,679.00,Salinas,34.00,2437.00,2606.00,2720.00,2330.00,2189.00,1534.00,1163.00,1616.00,1932.00,853.00,1082.00,1488.00,19.00,21.00,24.00,15.00,40.00,15.00,144242.00,152210.00,154413.00,155742.00,156908.00,158185.00,4492.00,5227.00,4145.00,4648.00,4906.00,5356.00,32.00,,23.00,41.00,,,76.00,36.00,365.00,374.00,488.00,451.00,449.00,369.00,California,1115.00,997.00,1098.00,1162.00,1027.00,1001.00
27,20296.00,21269.00,21667.00,22529.00,23833.00,26052.00,485.00,434.00,382.00,543.00,441.00,391.00,9.00,16.00,22.00,25.00,42.00,41.00,757.00,637.00,725.00,638.00,598.00,639.00,Santa Rosa,58.00,3041.00,2777.00,2559.00,2873.00,2794.00,3223.00,275.00,379.00,449.00,298.00,316.00,309.00,2.00,2.00,3.00,2.00,4.00,5.00,158182.00,169788.00,170862.00,171564.00,172991.00,175738.00,3706.00,3850.00,4311.00,4096.00,3818.00,3506.00,70.00,,56.00,67.00,,,89.00,42.00,166.00,134.00,126.00,105.00,130.00,131.00,California,682.00,636.00,606.00,767.00,636.00,541.00
28,4757.00,4957.00,4986.00,5376.00,5488.00,5765.00,132.00,149.00,122.00,141.00,178.00,118.00,11.00,9.00,14.00,16.00,17.00,14.00,409.00,348.00,501.00,438.00,410.00,429.00,Yuba City,20.00,1222.00,1297.00,1210.00,1109.00,1277.00,1160.00,170.00,180.00,203.00,152.00,184.00,332.00,2.00,4.00,2.00,0.00,0.00,1.00,62694.00,65688.00,65653.00,65133.00,65525.00,65974.00,1795.00,1699.00,1792.00,1783.00,1982.00,1980.00,21.00,,22.00,22.00,,,28.00,15.00,51.00,57.00,43.00,39.00,53.00,66.00,California,210.00,223.00,216.00,216.00,247.00,174.00
29,18722.00,19338.00,20348.00,21310.00,22243.00,23414.00,203.00,172.00,148.00,144.00,169.00,140.00,56.00,55.00,26.00,27.00,28.00,15.00,478.00,467.00,472.00,612.00,481.00,474.00,Boulder,35.00,2155.00,2337.00,2236.00,2146.00,1899.00,2214.00,125.00,150.00,137.00,89.00,128.00,100.00,4.00,0.00,0.00,1.00,2.00,2.00,99255.00,99081.00,100257.00,102828.00,104284.00,106823.00,2491.00,2777.00,2825.00,2722.00,2937.00,2948.00,,,33.00,32.00,38.00,41.00,47.00,,29.00,35.00,48.00,40.00,28.00,25.00,Colorado,275.00,242.00,222.00,210.00,249.00,218.00
30,26298.00,27008.00,27776.00,27811.00,28559.00,29850.00,1071.00,1203.00,1241.00,1092.00,1069.00,1079.00,100.00,107.00,76.00,62.00,94.00,126.00,3452.00,3323.00,3641.00,3726.00,2759.00,2414.00,Colorado Springs,319.00,12054.00,12456.00,12521.00,11914.00,11375.00,12363.00,1168.00,1646.00,1727.00,1288.00,1802.00,1928.00,20.00,18.00,26.00,20.00,25.00,26.00,397886.00,423680.00,432287.00,436108.00,444949.00,452410.00,15866.00,16319.00,16504.00,16794.00,17899.00,18175.00,,,319.00,358.00,370.00,412.00,341.00,,526.00,449.00,523.00,418.00,404.00,376.00,Colorado,1865.00,2039.00,1983.00,1957.00,1968.00,1893.00
