Year,State,City by state,Population,Crime Index total,Modified Crime Index total1,Murder      and non-negligent         man-     slaughter,Forcible rape,Robbery,Aggravated assault,Burglary,Larceny-theft,Motor vehicle theft,Arson1,,,,,,,
2001,CALIFORNIA,Colton,"48,548","2,210","2,241",0,10,106,102,407,"1,127",458,31,,,,, ,,
2001,CALIFORNIA,Commerce,"12,802","1,181","1,198",4,8,74,96,190,457,352,17,,,,,,,
2001,CALIFORNIA,Compton,"95,231","5,269","5,402",46,52,641,"1,217",858,"1,557",898,133,,,,,,,
2001,CALIFORNIA,Concord,"124,043","5,573","5,583",0,16,158,324,750,"3,563",762,10,,,,,,,
2001,CALIFORNIA,Corcoran,"14,727",303,306,0,4,1,41,87,148,22,3,,,,,,,
2001,CALIFORNIA,Corona,"127,288","4,218","4,239",3,19,149,153,681,"2,500",713,21,,,,,,,
2001,CALIFORNIA,Coronado,"24,548",417,418,0,9,6,14,70,290,28,1,,,,,,,
2001,CALIFORNIA,Costa Mesa,"110,745","4,021","4,036",4,28,155,203,554,"2,595",482,15,,,,,,,
2001,CALIFORNIA,Covina,"47,707","2,316","2,321",1,12,93,140,414,"1,330",326,5,,,,,,,
2001,CALIFORNIA,Cudahy,"24,658",561,561,0,4,37,135,66,165,154,0,,,,,,,
2001,CALIFORNIA,Culver City,"39,537","1,449","1,452",2,3,121,38,200,919,166,3,,, ,,,,
2001,CALIFORNIA,Cupertino,"51,485","1,319","1,331",1,7,13,50,252,945,51,12,,,,,,,
2001,CALIFORNIA,Cypress,"47,088","1,046","1,052",0,7,29,45,178,649,138,6,,,,,,,
2001,CALIFORNIA,Daly City,"105,547","2,300","2,308",5,25,146,175,213,"1,253",483,8,,,,,,,
2001,CALIFORNIA,Dana Point,"35,762",630,635,0,2,16,54,127,392,39,5,,,,,,,
2001,CALIFORNIA,Danville,"42,490",616,625,0,4,5,35,141,411,20,9,,,,,,,
2001,CALIFORNIA,Davis,"61,429","2,293","2,326",0,19,28,69,343,"1,682",152,33,, ,,,,,
2001,CALIFORNIA,Delano,"39,546","2,000","2,007",1,8,49,28,292,"1,316",306,7,,,,,,,
2001,CALIFORNIA,Desert Hot Springs,"16,890","1,550","1,550",2,22,43,196,537,629,121,0,,,,,,,
2001,CALIFORNIA,Diamond Bar,"57,333",929,946,1,9,31,95,156,508,129,17,,,,,,,
2001,CALIFORNIA,Dinuba,"17,157","1,151","1,156",0,8,17,139,414,488,85,5,,,,,,,
2001,CALIFORNIA,Dixon,"16,402",597,600,0,5,4,106,67,370,45,3,,,,,,,
2001,CALIFORNIA,Downey,"109,318","3,715","3,737",5,20,208,200,490,"1,793",999,22,,,,,,,
2001,CALIFORNIA,Duarte,"21,885",589,590,1,3,28,78,81,300,98,1,,,,,,,
2001,CALIFORNIA,Dublin,"30,530",751,754,1,1,11,49,118,453,118,3,,,,,,,
2001,CALIFORNIA,East Palo Alto,"30,054","1,244","1,253",6,19,132,154,417,320,196,9,,,,,,,
2001,CALIFORNIA,El Cajon,"96,632","4,171","4,198",5,37,139,440,667,"2,020",863,27,,,,,,,
2001,CALIFORNIA,El Centro,"38,538","2,109","2,129",0,13,49,299,654,883,211,20,,,,,,,
2001,CALIFORNIA,El Cerrito,"23,602","1,517","1,524",1,4,70,41,247,838,316,7,,,,,,,
2001,CALIFORNIA,El Monte,"118,120","3,778","3,818",10,24,281,434,589,"1,546",894,40,,,,,,,
2001,CALIFORNIA,El Segundo,"16,331",725,726,0,3,23,15,127,485,72,1,,,,,,,
2001,CALIFORNIA,Encinitas,"59,092","1,476","1,482",0,26,27,102,330,804,187,6,,,,,,,
2001,CALIFORNIA,Escondido,"136,041","5,194","5,217",2,31,167,376,851,"2,826",941,23,,,,,,,
2001,CALIFORNIA,Eureka,"26,614","2,514","2,563",5,20,66,127,417,"1,628",251,49,,,,,,,
2001,CALIFORNIA,Fairfield,"97,965","4,594","4,649",3,30,184,291,653,"3,027",406,55,,,,,,,
2001,CALIFORNIA,Fillmore,"13,897",263,266,0,3,6,28,55,152,19,3,,,,,,,
2001,CALIFORNIA,Folsom,"52,848","1,528","1,552",1,15,21,75,335,939,142,24,,,,,,,
2001,CALIFORNIA,Fontana,"131,325","3,969","4,008",10,41,234,625,746,"1,297","1,016",39,,,,,,,
2001,CALIFORNIA,Fortuna,"10,692",489,495,0,4,8,23,72,367,15,6,,,,,,,
2001,CALIFORNIA,Foster City,"29,338",438,443,0,2,3,27,62,318,26,5,,,,,,,
2001,CALIFORNIA,Fountain Valley,"56,000","1,753","1,767",1,0,54,64,242,"1,193",199,14,,,,,,,
2001,CALIFORNIA,Fremont,"207,193","6,152","6,193",0,19,144,236,"1,000","4,045",708,41,,,,,,,
2001,CALIFORNIA,Fresno,"435,600","34,681","35,229",40,202,"1,362","2,492","5,203","18,398","6,984",548,,,,,,,
2001,CALIFORNIA,Fullerton,"128,345","4,555","4,580",3,25,157,184,719,"2,914",553,25,,,,,,,
2001,CALIFORNIA,Galt,"19,834",644,652,0,7,4,35,119,392,87,8,,,,,,,
2001,CALIFORNIA,Gardena,"58,819","2,487","2,491",6,21,280,328,520,876,456,4,,,,,,,
2001,CALIFORNIA,Garden Grove,"168,266","5,176","5,214",5,32,302,460,681,"2,785",911,38,,,,,,,
2001,CALIFORNIA,Gilroy,"42,235","1,712","1,716",3,16,52,237,224,"1,049",131,4,,,,,,,
2001,CALIFORNIA,Glendale4,"198,596","4,491","4,537",5,22,180,235,987,"2,313",749,46,,,,,,,
2001,CALIFORNIA,Glendora,"50,333","1,172","1,179",0,9,36,62,186,761,118,7,,,,,,,
2001,CALIFORNIA,Grand Terrace,"11,842",321,322,0,1,7,18,70,152,73,1,,,,,,,
2001,CALIFORNIA,Grass Valley,"11,125",552,556,0,4,1,30,56,392,69,4,,,,,,,
2001,CALIFORNIA,Greenfield,"12,817",222,223,1,2,21,54,40,87,17,1,,,,,,,
2001,CALIFORNIA,Grover Beach,"13,310",341,350,0,3,9,34,57,212,26,9,,,,,,,
2001,CALIFORNIA,Half Moon Bay,"12,062",199,201,0,1,4,15,30,142,7,2,,,,,,,
2001,CALIFORNIA,Hanford,"42,461","1,614","1,621",0,6,25,61,283,"1,075",164,7,,,,,,,
2001,CALIFORNIA,Hawaiian Gardens,"15,054",554,562,1,6,50,77,113,237,70,8,,,,,,,
2001,CALIFORNIA,Hawthorne,"85,675","3,304","3,312",7,36,334,621,507,"1,253",546,8,,,,,,,
2001,CALIFORNIA,Hayward4,"142,632","5,525","5,586",10,43,275,213,851,"2,784","1,349",61,,,,,,,
2001,CALIFORNIA,Healdsburg,"10,921",358,364,0,4,9,25,121,186,13,6,,,,,,,
2001,CALIFORNIA,Hemet,"59,905","3,204","3,267",3,15,97,173,"1,137","1,387",392,63,,,,,,,
2001,CALIFORNIA,Hercules,"19,850",565,567,0,1,15,37,108,270,134,2,,,,,,,
2001,CALIFORNIA,Hermosa Beach,"18,911",734,737,0,9,17,63,123,463,59,3,,,,,,,
2001,CALIFORNIA,Hesperia,"63,745","1,939","1,957",1,12,49,138,465,"1,026",248,18,,,,,,,
2001,CALIFORNIA,Highland,"45,434","1,623","1,640",4,8,84,101,389,731,306,17,,,,,,,
2001,CALIFORNIA,Hillsborough,"11,026",77,77,0,3,0,8,18,43,5,0,,,,,,,
2001,CALIFORNIA,Hollister,"35,053","1,167","1,181",6,11,31,160,151,711,97,14,,,,,,,
