Year,State,City by state,Population,Crime Index,Modified Crime Index1,Murder      and non-negligent         man-     slaughter,Forcible rape,Robbery,Aggravated assault,Burglary,Larceny-theft,Motor vehicle theft,Arson1
"2,002",ALASKA,Klawock,877,0,0,0,0,0,0,0,0,0,0
"2,002",ALASKA,Kodiak,"6,505",293,295,0,0,0,8,29,241,15,2
"2,002",ALASKA,Nenana,413,73,73,0,0,1,12,23,25,12,0
"2,002",ALASKA,North Pole,"1,612",115,116,0,1,0,6,10,94,4,1
"2,002",ALASKA,North Slope Borough,"7,584",260,265,1,15,1,21,72,106,44,5
"2,002",ALASKA,Palmer,"4,654",340,343,0,0,1,29,43,249,18,3
"2,002",ALASKA,Petersburg,"3,310",150,152,0,0,0,25,10,109,6,2
"2,002",ALASKA,Seward,"2,906",235,235,0,1,0,11,45,166,12,0
"2,002",ALASKA,Sitka,"9,072",265,267,0,6,1,11,28,195,24,2
"2,002",ALASKA,Skagway,885,46,46,0,0,0,2,7,37,0,0
"2,002",ALASKA,Soldotna,"3,860",366,366,0,3,3,37,21,287,15,0
"2,002",ALASKA,St. Paul,547,15,15,0,0,2,5,2,4,2,0
"2,002",ALASKA,Unalaska,"4,398",99,99,0,0,1,4,14,55,25,0
"2,002",ALASKA,Valdez,"4,144",21,23,0,0,0,2,1,18,0,2
"2,002",ALASKA,Wasilla,"5,616",657,664,0,2,7,74,98,443,33,7
"2,002",ALASKA,Wrangell,"2,370",113,113,0,0,0,2,11,97,3,0
"2,002",,,,,,,,,,,,,
"2,002",,,,,,,,,,,,,
"2,002",,,,,,,,,,,,,
"2,002",ARIZONA,Benson,"5,010",184,184,0,0,3,4,30,125,22,0
"2,002",ARIZONA,Bisbee,"6,476",312,312,0,0,0,27,56,222,7,0
"2,002",ARIZONA,Buckeye,"6,952",430,430,0,2,6,49,157,166,50,0
"2,002",ARIZONA,Chino Valley,"8,332",479,479,0,1,2,26,127,310,13,0
"2,002",ARIZONA,Clarkdale,"3,640",91,91,1,1,0,7,32,43,7,0
"2,002",ARIZONA,Colorado City,"3,546",14,15,0,0,0,1,4,8,1,1
"2,002",ARIZONA,Coolidge,"8,281",551,584,2,6,10,75,95,295,68,33
"2,002",ARIZONA,Cottonwood,"9,761",808,813,0,4,5,56,118,577,48,5
"2,002",ARIZONA,Eagar,"4,290",158,158,0,1,0,10,28,107,12,0
"2,002",ARIZONA,El Mirage,"8,093",990,995,3,8,14,77,385,397,106,5
"2,002",ARIZONA,Fredonia,"1,102",28,30,0,0,0,4,8,13,3,2
"2,002",ARIZONA,Globe,"7,961",429,434,0,2,6,78,90,235,18,5
"2,002",ARIZONA,Holbrook,"5,229",516,516,1,8,1,48,111,327,20,0
"2,002",ARIZONA,Huachuca City,"1,862",37,37,0,0,0,4,8,23,2,0
"2,002",ARIZONA,Jerome,350,16,16,0,0,0,2,5,8,1,0
"2,002",ARIZONA,Mammoth,"1,874",48,51,0,1,0,3,19,22,3,3
"2,002",ARIZONA,Miami,"2,059",107,109,0,0,0,17,31,49,10,2
"2,002",ARIZONA,Page,"7,241",523,530,0,6,0,42,90,364,21,7
"2,002",ARIZONA,Parker,"3,339",119,120,0,0,0,4,49,59,7,1
"2,002",ARIZONA,Pima,"2,115",70,70,0,0,0,15,9,42,4,0
"2,002",ARIZONA,Pinetop-Lakeside,"3,809",199,199,0,3,2,41,38,104,11,0
"2,002",ARIZONA,Quartzsite,"3,567",166,166,0,1,3,15,82,54,11,0
"2,002",ARIZONA,Safford,"9,818",272,272,0,0,2,12,90,155,13,0
"2,002",ARIZONA,Show Low,"8,183",607,609,0,0,5,61,72,437,32,2
"2,002",ARIZONA,Snowflake-Taylor,"8,121",269,269,1,1,0,28,38,187,14,0
"2,002",ARIZONA,Somerton,"7,728",235,238,0,0,3,10,62,130,30,3
"2,002",ARIZONA,South Tucson,"5,839",827,836,1,5,41,70,117,528,65,9
"2,002",ARIZONA,Springerville,"2,097",141,141,0,0,1,7,18,108,7,0
"2,002",ARIZONA,Thatcher,"4,277",202,203,0,0,0,6,19,172,5,1
"2,002",ARIZONA,Tolleson,"5,290",828,830,0,0,10,53,166,470,129,2
"2,002",ARIZONA,Tombstone,"1,600",33,33,0,0,1,9,2,19,2,0
"2,002",ARIZONA,Wellton,"1,945",49,50,0,0,0,3,22,21,3,1
"2,002",ARIZONA,Wickenburg,"5,405",179,179,0,1,0,5,29,130,14,0
"2,002",ARIZONA,Willcox,"3,970",263,263,0,4,2,4,63,164,26,0
"2,002",ARIZONA,Youngtown,"3,201",141,145,0,2,1,9,29,81,19,4
"2,002",,,,,,,,,,,,,
"2,002",,,,,, ,,,,,,,
