"","Cities/Areas","2010","2011","2012","2013","2014","2015","2015 Rank","state"
"274","Pittsfield",5284,5553,5953,5988,6101,6334,259," MA"
"275","Pocatello",2391,2456,2465,2402,2449,2541,378," ID"
"276","Portland-South Portland",25711,25959,26493,26843,27769,28876,88," ME"
"277","Portland-Vancouver-Hillsboro",141233,149515,145415,145128,149095,158770,20," OR-WA"
"278","Port St. Lucie",11153,11140,11178,11346,11727,12446,172," FL"
"279","Prescott",4512,4439,4492,4688,4977,5127,302," AZ"
"280","Providence-Warwick",67754,69014,71202,72779,75870,78694,42," RI-MA"
"281","Provo-Orem",15408,16183,17273,18010,18967,20711,118," UT"
"282","Pueblo",4213,4384,4467,4491,4686,4824,323," CO"
"283","Punta Gorda",3218,3233,3268,3419,3519,3791,355," FL"
"284","Racine",7086,7103,7560,7445,7655,7820,229," WI"
"285","Raleigh",58652,61046,63471,65522,69277,75756,44," NC"
"286","Rapid City",5329,5604,5830,5880,6225,6412,257," SD"
"287","Reading",15119,15478,15970,16262,16882,17503,132," PA"
"288","Redding",5109,5251,5263,5350,5628,5933,272," CA"
"289","Reno",18854,19108,19199,19512,20823,22043,110," NV"
"290","Richmond",62654,63505,65773,67661,69609,74109,45," VA"
"291","Riverside-San Bernardino-Ontario",114960,119415,121742,126011,132331,140637,23," CA"
"292","Roanoke",13105,13136,13395,13658,14004,14474,156," VA"
"293","Rochester",9771,9768,10080,10395,10782,11214,182," MN"
"294","Rochester",49331,49547,51091,53005,53246,55382,54," NY"
"295","Rockford",12574,13201,14120,14055,14431,14939,152," IL"
"296","Rocky Mount",6325,6142,6085,6025,6012,6461,255," NC"
"297","Rome",3224,3207,3287,3366,3485,3645,358," GA"
"298","Sacramento--Roseville--Arden-Arcade",96015,99338,104878,108360,112238,118822,33," CA"
"299","Saginaw",6969,7139,7152,7334,7471,7605,231," MI"
"300","St. Cloud",7676,7906,8139,8473,8981,9399,205," MN"
"301","St. George",3519,3713,3903,4164,4400,4658,327," UT"
"302","St. Joseph",4817,4918,5305,5570,5600,5716,283," MO-KS"
"303","St. Louis",133888,136646,141365,144901,149927,155077,21," MO-IL"
"304","Salem",12611,12453,12591,12878,13482,14069,160," OR"
"305","Salinas",18721,18891,19754,20666,21360,21980,111," CA"
"306","Salisbury",13721,13507,13546,14401,15203,16077,144," MD-DE"
"307","Salt Lake City",63831,67215,69662,72596,75331,78950,41," UT"
"308","San Angelo",3915,4192,4399,4773,5048,4876,318," TX"
"309","San Antonio-New Braunfels",81722,87182,92866,97837,104014,108879,35," TX"
"310","San Diego-Carlsbad",175903,183149,192533,202227,210387,220573,16," CA"
"311","San Francisco-Oakland-Hayward",333830,345058,372610,384375,408067,431704,7," CA"
"312","San Jose-Sunnyvale-Santa Clara",163836,176173,185048,195906,213014,235222,15," CA"
"313","San Luis Obispo-Paso Robles-Arroyo Grande",11191,11581,12035,12597,13123,13705,164," CA"
"314","Santa Cruz-Watsonville",9619,9869,10079,10782,11284,11908,179," CA"
"315","Santa Fe",6940,6885,6776,7068,7123,7417,236," NM"
"316","Santa Maria-Santa Barbara",20589,21791,22712,23208,23986,25018,98," CA"
"317","Santa Rosa",20296,21269,21667,22529,23833,26052,92," CA"
"318","Savannah",13445,13742,14333,14930,15809,17030,137," GA"
"319","Scranton--Wilkes-Barre--Hazleton",20330,20652,20970,21754,22478,23194,106," PA"
"320","Seattle-Tacoma-Bellevue",248203,257062,271982,281977,298084,313654,12," WA"
"321","Sebastian-Vero Beach",4078,4067,4249,4256,4558,4873,319," FL"
"322","Sebring",1883,1897,1952,1922,1890,1961,382," FL"
"323","Sheboygan",5398,5606,5817,6007,6396,6588,251," WI"
"324","Sherman-Denison",3409,3532,3627,3854,3834,3950,345," TX"
"325","Shreveport-Bossier City",22131,23532,23115,22030,22308,21190,116," LA"
"326","Sierra Vista-Douglas",4180,4233,4065,3916,3836,3847,350," AZ"
"327","Sioux City",7718,7860,7935,8721,8856,9224,212," IA-NE-SD"
"328","Sioux Falls",14493,15891,16985,17460,17917,18727,127," SD"
"329","South Bend-Mishawaka",12421,13043,13003,12910,13464,13966,161," IN-MI"
"330","Spartanburg",11410,11997,12263,12785,13525,14176,159," SC"
"331","Spokane-Spokane Valley",19656,20132,20784,21333,22092,23006,107," WA"
"332","Springfield",8972,9233,9280,9403,9642,9940,198," IL"
"333","Springfield",22483,22956,23776,24057,24671,25337,97," MA"
"334","Springfield",15599,15827,16248,16819,17519,18404,130," MO"
"335","Springfield",3548,3766,3945,4049,4182,4211,337," OH"
"336","State College",6646,6852,7063,7358,7836,8160,220," PA"
"337","Staunton-Waynesboro",4475,4467,4562,4756,4938,4950,314," VA"
"338","Stockton-Lodi",20291,20965,22054,22511,23328,24606,102," CA"
"339","Sumter",3007,3132,3460,3496,3588,3640,360," SC"
"340","Syracuse",28953,28992,30125,30468,31037,31728,80," NY"
"341","Tallahassee",13574,13427,13459,13748,14244,14747,154," FL"
"342","Tampa-St. Petersburg-Clearwater",110187,111462,116956,121553,127326,133838,26," FL"
"343","Terre Haute",6308,6389,6386,6574,6649,6687,248," IN"
"344","Texarkana",4911,4972,5051,4875,5042,5181,299," TX-AR"
"345","The Villages",1776,1874,1875,2089,2185,2313,379," FL"
"346","Toledo",27158,29458,30071,30605,33653,34019,78," OH"
"347","Topeka",9092,9434,9632,9727,9924,9806,200," KS"
"348","Trenton",25853,26251,28026,29043,29654,30815,82," NJ"
"349","Tucson",33110,33271,34385,34898,36184,36193,75," AZ"
"350","Tulsa",46343,51010,53543,55088,57776,54604,55," OK"
"351","Tuscaloosa",9518,10134,10049,10567,10736,11008,184," AL"
"352","Tyler",9206,9929,10335,10869,11400,10557,193," TX"
"353","Urban Honolulu",52214,53662,55340,56624,58284,61072,51," HI"
"354","Utica-Rome",9932,9974,10315,10497,10551,10770,191," NY"
"355","Valdosta",4360,4332,4390,4587,4729,4850,320," GA"
"356","Vallejo-Fairfield",15088,15039,16582,18058,18773,19646,121," CA"
"357","Victoria",4112,4458,5002,5342,5639,5218,297," TX"
"358","Vineland-Bridgeton",5263,5229,5393,5392,5614,5735,281," NJ"
"359","Virginia Beach-Norfolk-Newport News",82685,84274,86787,88510,89871,95680,39," VA-NC"
"360","Visalia-Porterville",11613,12755,12613,13933,15104,15829,146," CA"
"361","Waco",9095,9131,9675,10050,10499,11007,185," TX"
"362","Walla Walla",2429,2472,2502,2514,2549,2608,377," WA"
