State,Population,total.Crime.,Year
Texas,18536353.00,785376.00,2013.00
Utah,1949521.00,62819.00,2013.00
Vermont,227219.00,6053.00,2013.00
Virginia,2993410.00,100524.00,2013.00
Washington,4203707.00,207467.00,2013.00
West Virginia,291651.00,8759.00,2013.00
Wisconsin,3758820.00,118091.00,2013.00
Wyoming,364259.00,11008.00,2013.00
Alabama,2515140.00,123112.00,2014.00
Alaska,475728.00,20583.00,2014.00
Arizona,3757905.00,133447.00,2014.00
Arkansas,1557761.00,78374.00,2014.00
California,31979516.00,939436.00,2014.00
Colorado,3781672.00,128695.00,2014.00
Connecticut,3064166.00,72197.00,2014.00
Delaware,255946.00,13314.00,2014.00
District of Columbia,658893.00,40837.00,2014.00
Florida,9507138.00,401797.00,2014.00
Georgia,3393554.00,166462.00,2014.00
Hawaii,0.00,0.00,2014.00
Idaho,914266.00,23900.00,2014.00
Illinois,9991977.00,271887.00,2014.00
Indiana,3488020.00,152112.00,2014.00
Iowa,1901679.00,61523.00,2014.00
Kansas,1401661.00,41492.00,2014.00
Kentucky,2347101.00,87321.00,2014.00
Louisiana,1771511.00,89498.00,2014.00
Maine,846167.00,21971.00,2014.00
Maryland,1303786.00,63244.00,2014.00
Massachusetts,6128684.00,136955.00,2014.00
Michigan,5937292.00,173426.00,2014.00
Minnesota,3733153.00,113000.00,2014.00
Mississippi,791259.00,39930.00,2014.00
Missouri,3747531.00,164152.00,2014.00
Montana,460290.00,18054.00,2014.00
Nebraska,1111349.00,43485.00,2014.00
Nevada,2444454.00,83933.00,2014.00
New Hampshire,1152355.00,25751.00,2014.00
New Jersey,8359612.00,161271.00,2014.00
New Mexico,1347885.00,70250.00,2014.00
New York,13953670.00,324775.00,2014.00
North Carolina,4652353.00,204126.00,2014.00
North Dakota,469700.00,13444.00,2014.00
Ohio,6632839.00,240020.00,2014.00
Oklahoma,2760763.00,112046.00,2014.00
Oregon,2299853.00,94202.00,2014.00
Pennsylvania,9803810.00,241995.00,2014.00
Rhode Island,1048576.00,24663.00,2014.00
South Carolina,1353802.00,70992.00,2014.00
South Dakota,494967.00,14255.00,2014.00
Tennessee,3734296.00,184160.00,2014.00
Texas,18153869.00,710518.00,2014.00
Utah,1561053.00,50026.00,2014.00
Vermont,254820.00,5197.00,2014.00
Virginia,2992401.00,93750.00,2014.00
Washington,4458361.00,220471.00,2014.00
West Virginia,374901.00,13069.00,2014.00
Wisconsin,3668206.00,112646.00,2014.00
Wyoming,368944.00,9757.00,2014.00
Alabama,2619869.00,123330.00,2015.00
Alaska,475744.00,21729.00,2015.00
Arizona,5240098.00,197815.00,2015.00
Arkansas,1634199.00,79016.00,2015.00
California,32327418.00,1019725.00,2015.00
Colorado,3713360.00,126291.00,2015.00
Connecticut,2935925.00,61795.00,2015.00
Delaware,260837.00,12258.00,2015.00
District of Columbia,672228.00,38443.00,2015.00
Florida,9716869.00,397286.00,2015.00
Georgia,3419075.00,158422.00,2015.00
Hawaii,999307.00,33522.00,2015.00
Idaho,980281.00,24653.00,2015.00
Illinois,9905857.00,259174.00,2015.00
Indiana,3441156.00,145991.00,2015.00
Iowa,1871216.00,61566.00,2015.00
Kansas,1953215.00,70883.00,2015.00
Kentucky,2359975.00,86980.00,2015.00
Louisiana,1834264.00,100815.00,2015.00
Maine,847979.00,20204.00,2015.00
Maryland,1271281.00,61644.00,2015.00
Massachusetts,6214572.00,125375.00,2015.00
Michigan,6325662.00,174868.00,2015.00
Minnesota,3989255.00,115293.00,2015.00
Mississippi,797699.00,37837.00,2015.00
Missouri,3769787.00,163898.00,2015.00
Montana,463821.00,19911.00,2015.00
Nebraska,1247981.00,41208.00,2015.00
Nevada,2496499.00,88676.00,2015.00
New Hampshire,1165385.00,22916.00,2015.00
New Jersey,8332005.00,146287.00,2015.00
New Mexico,1320312.00,74264.00,2015.00
New York,14085962.00,308969.00,2015.00
North Carolina,3792242.00,156173.00,2015.00
North Dakota,487137.00,13437.00,2015.00
Ohio,6099232.00,211773.00,2015.00
Oklahoma,2642914.00,106752.00,2015.00
Oregon,1305259.00,51890.00,2015.00
Pennsylvania,9342440.00,218630.00,2015.00
Rhode Island,1049574.00,22016.00,2015.00
South Carolina,1500396.00,75970.00,2015.00
South Dakota,505199.00,15430.00,2015.00
Tennessee,3802265.00,182676.00,2015.00
Texas,19601665.00,728609.00,2015.00
Utah,2172966.00,65150.00,2015.00
Vermont,343442.00,6713.00,2015.00
Virginia,2966940.00,91966.00,2015.00
Washington,4546974.00,213019.00,2015.00
West Virginia,386778.00,15145.00,2015.00
Wisconsin,3698649.00,108279.00,2015.00
Wyoming,367796.00,9590.00,2015.00
